ID,Text,Sub-task A,Sub-task B,Label
C4.2171.3,sonic raj bhai mko b 10 saal se jyada ho gya bollywood movie dkhe hue,NAG,NGEN,0
C36.1068,"Honi chahiye sir bs Bo Apna km shi kre baki koi apne personal life kyq kr hme
kya mtlb itni freedom to honi hi chahiye taki Bo apne sapne pure kr ske chahe
koi bhi field ho..",NAG,NGEN,0
C4.686,"Respect for swetabh bhai has been increased after this video ...  
  
Varna kayi log Kabir singh ka gungaan karke views Bator rhe hai aajtak ...  
  
Abhi lap kaptaan aayi ..kisi chutiye ne nhi dekhi ..",NAG,NGEN,0
C19.126.1,Premier show dekh kar,NAG,NGEN,0
C4.1438,Bhai mee wait kr hi rhA tha 🤣🤣🤣,NAG,NGEN,0
C7.1329,"Bhai bhot zabardast critically review diya hai aapne!! Best speech - ""Pant me
Barf dal liya"" 😆😆😆😆😆❤❤❤",NAG,NGEN,0
C7.273,Aapke per kaha he sahab ji... AAPKO TO DIRECTOR HONA SAHEYA THA😂😂😂,NAG,NGEN,0
C4.88,Bilkul sahi hai bhai 🤣🤣🤣👏👏👏,NAG,NGEN,0
C32.34.5,@nripen rajbongshi 19,NAG,NGEN,0
C26.150,Bohut badia bhai👍👍👍,NAG,NGEN,0
C9.313.4,"Gentleman 123450 mera comment ko aap lagta hai nahin samjhe bhai, main bhi to
wahi bata raha hoon jo aap kehna chahte hain, maine ek misaal diya.",NAG,NGEN,0
C10.104,"अरुंधति रॉय ने बहुत अच्छा suggestion दिया है, क्यों न ऐसा किया जाये की अरुंधति
रॉय जब अगली बार अपना पासपोर्ट रेनू करवाने जाये तो अपना नाम रंगा बिल्ला और अपना
एड्रेस रेस कोर्स रोड लिखवाएं, अगर वो शुरुआत करेंगी तो मैं भी फिर उनके विचार का
पालन करूँगा",NAG,NGEN,0
C59.586,Lovely post bhaiya. Or kuch nahi bolungi,NAG,NGEN,0
C4.2031,Bhai roz videos upload kro do do videos,NAG,NGEN,0
C19.188,Spoilers ke warning kon dega,NAG,NGEN,0
C4.1772,"I am not seen this movie but but this kind of movie bante rahani chahie kyunki
tere liye action bahut maja aata hai dekhne mein 😂😂😂😂😂 its joke  
main to abhi tak 5 sal ke andar jitni Bollywood movie nikale mehndi ki nahin
abhi tak koi bhi ginti ki 4- 5 movie dekhi hogi",NAG,NGEN,0
C61.901,Madam app pehle bengali seekh lijiye!!😂😂,NAG,NGEN,0
C7.27.1,Kam se kam wo loyal tha,NAG,NGEN,0
C9.102,सरकार में विश्वास नहीं है तभी तो विरोध कर रहे हैं।,NAG,NGEN,0
C7.1609,1 no movie h bhai.,NAG,NGEN,0
C36.960,tho pakistani log bolege bodo indian army,NAG,NGEN,0
C36.751,Gandiyo ka army m koi kaam ni h,NAG,NGEN,0
C7.1764,Bilkul sahi bola vai good review😍,NAG,NGEN,0
C4.626,Dictionary rakhni padti hai teri videos dekhte time,NAG,NGEN,0
C7.2596,Apna tay hai..Pahle like kro fir video dekho 🙂,NAG,NGEN,0
C4.747,"kon kon hai yaha jisne Kabir singh (shit) abhi tk nhi dekhi....  
hit like...",NAG,NGEN,0
C9.311.2,"@Vijay Sharma padh bhai padh  
Dhyan se padh  
Maine ye padh liya tu bhi zara padh padh padh padh... 😂😂😂😂",NAG,NGEN,0
C4.2104,"Ladki k kiye kya Pagal Hona bhai?  
Sexual Feelings ko 2 min k liye alag rakho.  
Wo Insaan he toh hai  
Bas wo 10 Din Na nahaye(Bath) aap khud dur bhagoge.😂  
Bollywood me toh saala kabhi heroine Sandaas jaati he nai😂",NAG,NGEN,0
C7.1437,"Waise Pratik bhaiya ap to four more shot please dekh k to ap bhi bann gaye the
🤣🤣😂😂😂",NAG,NGEN,0
C4.292,"Faltu film ha ya ,,, doctor aysa nahi hota ........ ar medical college aysa
hota to ...... Neet , aiims itna tough nahi hota.....",NAG,NGEN,0
C7.490,mob lynching ke bare m apka bichar rakiye,NAG,NGEN,0
C10.792,Nupur sharma 👍👍,NAG,NGEN,0
C4.1840,"Are btc🤣  
Shuru k 10 sec",NAG,NGEN,0
C4.2241,Bhai meeetoh tera faaan hoon,NAG,NGEN,0
C26.304.4,Bikas Mishra sahi kaha ap ne,NAG,NGEN,0
C7.1034,Bhai app bohot acchaaa bole....perfect....,NAG,NGEN,0
C7.2247,Sahi kaha apne.....,NAG,NGEN,0
C21.325,Sir itna late video.......,NAG,NGEN,0
C4.125,"Thanks for this video sir..mei kabir singh nehi dekha..but sach mehi yee ek
chutiya movie hei",NAG,NGEN,0
C7.1108.1,"Jo bate society Ko barbad kar Rahi hai unhi pe baat ki hai... Par kya kare
Sachchai kadvi Hoti hai isliye shayad aapse sachchai suni nahi Jaa Rahi !",NAG,NGEN,0
C32.20,kuch bhi,NAG,NGEN,0
C32.160,बहुत खूब जानदार शानदार,NAG,NGEN,0
C38.745.3,VINAY DAHARWAL tho jeans pant chod fir,NAG,NGEN,0
C32.129.5,@Omkar Naek 9250295775,NAG,NGEN,0
C4.1075,Sab kuch badhiya hai..Bolne ki speed thodi si control kar lo,NAG,NGEN,0
C4.592,Bhai ki baaten Sach hoti hai,NAG,NGEN,0
C44.170,Chutiya pan ak had hoti haii,NAG,NGEN,0
C4.1086.4,Thanks bhai,NAG,NGEN,0
C4.1762,3 mahine purani movie ka review kr rha h kya yar,NAG,NGEN,0
C7.2482,Ye log film na hi app ki ye video dekhe to mane ge.,NAG,NGEN,0
C36.1091.2,Per ek army person aur civilian k rights alag alag hote h.,NAG,NGEN,0
C4.1025,Bada jaldi review kr Diya😁,NAG,NGEN,0
C4.1318.1,@Thugs of Hindostan 🙏🙏🙏🙏,NAG,NGEN,0
C4.501,Please KGF movie ka review banao,NAG,NGEN,0
C9.217,chalo kuch sahi bole bhai saheb,NAG,NGEN,0
C25.508,"कानून का दुरुपयोग करने वालों के खिलाफ कानून बनाया जाय। विना अपराध किये
गिरफ्तारी नहीं होनी चाहिए ।",NAG,NGEN,0
C4.46,Haaaa haa baddyia Bhai 16 na saach😊😊😊😊😊😊 Dil khush kyia Bhai .real bola Bhai,NAG,NGEN,0
C7.2141,😂😂 itne liberals milte Kahan pe hai tume😂😂😂,NAG,NGEN,0
C7.1286,Bhai aap instagram pe kab aaoge???,NAG,NGEN,0
C4.1096,Sach mein zand hai ye movie☹️,NAG,NGEN,0
C36.1088.3,@Amresh Sahay tujhe badha kuch pata hain shivay lgbt,NAG,NGEN,0
C38.753,"shweta mehta aapne to btaya hi nhi aap kya krogi agr aapk bacha gay or lesbian
hua to .",NAG,NGEN,0
C26.112,"BANDE KI JAMANAT HUI KYA.PLZ UPDATE [SOMEONE.IS](http://someone.is/) HE
RELEASED OR STILL IN JAIL.? JITNA PAISA LAGEGA JAMANAT KA APAN SB DENGE",NAG,NGEN,0
C36.675,Yes hona chahiye,NAG,NGEN,0
C7.2501,Modi Ka Beta 😂😂😂🤣🤣,NAG,NGEN,0
C7.1122,"Awesome movi shahid always roak shahid ki blockbuster movi dekh ke phat gyi
hai acchhe achhe ko shahid is roak",NAG,NGEN,0
C25.537.1,radhe krishna teri maa bhi hogi,NAG,NGEN,0
C4.405,Bhai itna bhi insult mt kr....movie ki,NAG,NGEN,0
C7.2008,Sahi kaha bhai,NAG,NGEN,0
C36.349,A to z koi bh ho sabko hak hona chaiye apne desh ke liye har jagah,NAG,NGEN,0
C33.223.3,Abhishek kumar mast bani h,NAG,NGEN,0
C9.16,ARUNDATI RAI AUR SIRDESAI MEIN SAMANATA HAI,NAG,NGEN,0
C38.103,"[2:10](https://www.youtube.com/watch?v=ZzsAuDkXq1M&t=2m10s) agar hamara baccha
gay ho  
To hum hasenge",NAG,NGEN,0
C25.515,दहेज देने व लेनेवालों वालों को सजा दो।,NAG,NGEN,0
C4.473.2,Kuch friends sale bakchod hote hai fir bhi jindagi mein rakhne padte hain,NAG,NGEN,0
C7.1773,Bhai review kaha tha,NAG,NGEN,0
C26.110,Sahi Kiya Bhai lekin Bibi ko kese chor Diya aap ne,NAG,NGEN,0
C7.2455.1,"Sabse pehle aapko apna Left-Right Conservative-Liberal ka concept clear karna
chahiye....  
Ye video dekhiye -  
<https://youtu.be/yNdB772uAsU>",NAG,NGEN,0
C7.233,"Aapp Hindi mein baat krte ho it is the best part of your channel n aapka
explain accha krte ho",NAG,NGEN,0
C33.273,Bom Bom bajega bom bom,NAG,NGEN,0
C33.49,Msg bohat achha tha but hsi bohat aayi....,NAG,NGEN,0
C9.223,"Ranga - rapist KO bachane wale bjp k neta log.  
Billa- address of 7RCR our PM office....sahi to kaha h isme galat kya
h.....yeh sardesai debate karne ki kah raha h debate kare to kis se government
to sunne KO tyar nahi.",NAG,NGEN,0
C7.1319,"Partik bhai  
Agar ye galti se Ramayan dekh le nn  
To bolenge ki Supnekha(सूपनखा) ke sath galat kiya lakshman ne🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂",NAG,NGEN,0
C4.1045,"Bhai bhaut time baad gali suneko mili  
Mensutra is back",NAG,NGEN,0
C59.1178,jio vai good video nice video,NAG,NGEN,0
C7.2243,"Ap. Babaje jaisa batkartehe,,,🤣😂😄😃😁",NAG,NGEN,0
C4.633,Mast bhai 👌👌👌👌,NAG,NGEN,0
C20.91,Sir false 498 a or crpc125 par bhi movie banti hai koi himatvala,NAG,NGEN,0
C7.203,Bahot Badhiya....,NAG,NGEN,0
C29.31,"final cut news mai dikha raha hai ki rape hua hai...! kay hai savistar batao
bhai",NAG,NGEN,0
C4.2143,"Bhai aisi hi aap aur lambi videos bhi bna Diya kro detailed me..zroor
dekhenge🔥😘",NAG,NGEN,0
C4.2150.1,Bhai hume movies se influnece hona band karna hoga . Bade ho gye hai hum,NAG,NGEN,0
C7.153,Liberals ab discussion ke layak bhi nahi bache😊,NAG,NGEN,0
C26.19,Jo na insafi karega usko ye case yaad aana chahiye,NAG,NGEN,0
C4.82,"[13:23](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=13m23s)  
Bhai bhai.....bikul sach bola re",NAG,NGEN,0
C21.329,"Bhai aap bahut axxa content banate hai fir bhi subscribers Nahi bad hai
....... Aap last me like , comments , subscribe Karne ko kha kre ..... Such kh
rha hu Esse bahut fark padta hai .....",NAG,NGEN,0
C32.124.3,@S Kumar ha ji,NAG,NGEN,0
C7.1368,"Sahi baat boli hain apne sir 😊...main ab 12th class mein hoon...but mera bhi
life aur career just khatam ho raha hain aur reason bhi ek hain 🙃",NAG,NGEN,0
C7.2204,"The godfather , inception , got ka review kab kroge ... reply",NAG,NGEN,0
C32.34.4,@nripen rajbongshi Hy,NAG,NGEN,0
C21.251,"Is baar acchi acchi or alag alag subject par film aayi hai jaise section 375 ,
Dream girl , pehailwan sab acchi kahaniyan hai",NAG,NGEN,0
C7.2380,Kabir singh ka logo kya chupane k liye lagaya h 😂,NAG,NGEN,0
C68.1340.2,"I'm,s,jasha,karega,oysha,varega",NAG,NGEN,0
C7.2402.1,"SAME HI HE...  
Bas 2 alag naam",NAG,NGEN,0
C7.2593,Bhai please the fault in our Stars ka review kar do,NAG,NGEN,0
C4.1916,"Ek Number video sir, Maja aa gaya",NAG,NGEN,0
C4.900,Baby mai nhi.....bhaiya...akshay kumar..itam song,NAG,NGEN,0
C19.1.2,इस बंदे की जगह मुबारक से करा लिया करो रिव्यु... सारी,NAG,NGEN,0
C33.44,Kya bat hai bhai,NAG,NGEN,0
C38.456,Kuch bhi kaho ladki kamal hai... hot,NAG,NGEN,0
C36.822,"नमस्कार प्रशांत सर,  
मुझे लगता है जनरल साहब का कथन सही है।  
हम सहमत हैं",NAG,NGEN,0
C19.80,Akshaye Khanna Brilliant actor hai doston.,NAG,NGEN,0
C7.976,"Mujhe har baar liberals word sun ke Swara Bhaskar hi yad aa rhi thi😂😂dosto
tmhe kon yad aaya comment kro.",NAG,NGEN,0
C7.218,Bhai ja ke moviestalk ka review dekh asli critic,NAG,NGEN,0
C4.1799,"Bhai aapka book a thousand love letter wapis aayega ki nhi Flipkart or Amazon
pe try kiya mil nhi raha",NAG,NGEN,0
C20.17,Yaar.. Ispe bhoot taras aata hai.. 😔 itna bitterness.,NAG,NGEN,0
C4.1990,"""Kutte ke tara pyar karta hein""😂",NAG,NGEN,0
C7.255.1,Video pura dekhiye,NAG,NGEN,0
C7.1247,"Sir aapko ye kaise or kahan se pata chalta hai ki faminist ya liberals kya
kahte hai ?",NAG,NGEN,0
C4.1575,bollywood pyaar se thoda aage badhna chahiye,NAG,NGEN,0
C32.41.1,Mumbai Chakala mera number hai8286209041 body massage ke liye Sampark Karen,NAG,NGEN,0
C4.1431,kitna nautanki karta bhai tu full Delhi 😂😂😂,NAG,NGEN,0
C4.1682,"bhout acha explaination diya bhai, mujhe bhi pasand nahi aai movie",NAG,NGEN,0
C7.2064,वह स्त्री है कुछ भी कर सकती है!,NAG,NGEN,0
C7.2468.3,Jab movie ka theme political h to review bhi usi hisab se hoga,NAG,NGEN,0
C4.1918,Bhai channel name change kiya mat karo confusion hota haii,NAG,NGEN,0
C36.1155,Sir aaj kal daily current affairs kyu nahi aaa rha hai?????,NAG,NGEN,0
C7.621,Sahi baat bhai,NAG,NGEN,0
C7.1849,Zbrdst bhaaaai.......,NAG,NGEN,0
C4.314,Bhai Salam,NAG,NGEN,0
C38.285,Last wala uncle cute tha.*.meri wife layi thi* 🤣🤣🤣😂😂👌👌 awww..,NAG,NGEN,0
C7.1665,"If you don't mind bro ..to mai ek baat kehna chahta hu ki movie review kartay
waqt kai baar Aap jazbaati ho jaate ho..aur kai baar aap bus kho jaate
ho..[11:08](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=11m08s) second
baatanay ki zarurat hi nahi hai ki yae movie aapko kitni die hard tarike se
pasand aayi hai aur aap defenatly iss movie ko 8 se 10 star rating dene wale
ho..but I like your honesty kyoki aaj tak koi bhi you tuber itna deaply review
nahi karta..aur mai to aapke review ka besabri se wait kar raha tha pratik
bhai..I go tomorrow this movie with my gang 110% haites off brother. All good
wishes from chattishgarh 👍👏👏👏",NAG,NGEN,0
C36.1162,Nahj,NAG,NGEN,0
C9.141,Ye dono ranga billa hai......,NAG,NGEN,0
C7.2125,"Arey bhai, spoiler kyo de diya ? 😫😫",NAG,NGEN,0
C7.2372,"Mene aj hi movie dekhi hai bahot achhi movie hai . Sahid kapur mere fabrt ban
gye",NAG,NGEN,0
C9.193,Arundhati Roy ka side to Raj deep lega hi lega.,NAG,NGEN,0
C38.426,Auto wala kaku love😊😊😊😊😊😊,NAG,NGEN,0
C4.1383,Bhai aap sahi keh rahe h bilkul,NAG,NGEN,0
C7.2163,Don't worry Pratik bhai America wale keherehe hein Modi hai toh Mumkin hai,NAG,NGEN,0
C7.420.1,"@vaibhav tare abe chutiye ..Mai movie dekhta hu....par usme ke characters Ko
follow nhi karta....ye bht alag baat hai ..tu nhi samjega.",NAG,NGEN,0
C38.736.5,Himalaya kya MARS pe hai,NAG,NGEN,0
C4.614,chutiya review,NAG,NGEN,0
C36.1043,Hona chahiy,NAG,NGEN,0
C20.318,"Bollywood ki best movie ise aap keh sakte hai.  
  
One line for  
Agar ladki ne apke sath sex kiya hai apni marji se or wo bahar jake bole apne
uske sath rape kiya than start section 375.  
Karoge to bhi maroge nahi kiya tab bhi marenge.",NAG,NGEN,0
C7.2041,"Bhai mai apki video ka hi wait kar rha tha.. you are awesome bro . Sahi Jawab
diya hai apne aise logo ko ...awesome bro..",NAG,NGEN,0
C7.510.1,Yeh movie review hain isme Aap communal violence na phelaye,NAG,NGEN,0
C21.110,Khushi hui ki apne is film ka review kiya,NAG,NGEN,0
C7.2221,Jay ho Pratik bhai..✊,NAG,NGEN,0
C9.139,Ghussa hai bhai Arundhati Roy ka,NAG,NGEN,0
C7.2051,"Sir mujhe aapka review sach me bohot hi badiya lgta hain....... Plz sir
bataiye ki 96 film main kaha dekhu",NAG,NGEN,0
C38.65,"Chashme bade acche hein aapke  
Guy: Meri wife li thi  
<3 ❤",NAG,NGEN,0
C59.1347,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 Awsam guru jio tum,NAG,NGEN,0
C4.26,Bhai bala movie ka raw review Karo..,NAG,NGEN,0
C7.1511,"Hollywood ne Netflix se milkar excellent webseries release karraha hai, but
India Netflix se sex stories release kar raha hai. I'm sad on it.",NAG,NGEN,0
C36.476,"सेना कभी भी भेड़ चाल नहीं चलती है किसी भी देश की सेना उस देश का राष्ट्रीय गौरव
होती है वहां के कल्चर का प्रतीक होती है अभी हमारा देश उस रंग में नहीं रंगा है
जहां पश्चिमी देशों के धारणा को ग्रहण किया जाए अभी समलैंगिक समाज के लिए काफी
समय लगेगा इसलिए जनरल बिपिन रावत का बयान मुझे काफी हद तक या पूरी तरीके से सही
लगता है",NAG,NGEN,0
C25.466,"sikayat par turnt police ko jakar reallty dekhni chahiye.kisi ladke ka jeevan
kharab karne ka na police ko adikar hai or na kanoon ko",NAG,NGEN,0
C68.23,Dogi,NAG,NGEN,0
C26.251,Burrraaa...I Love U Jahangir Bhai.,NAG,NGEN,0
C4.116,Masaan Dekhi hai kisine ?,NAG,NGEN,0
C7.1021,Acha laga bhai,NAG,NGEN,0
C36.1012,chupte to phle v ni the,NAG,NGEN,0
C4.2141.3,@RAHUL SHARMA sorry bro maine gali di apko. mai abhi use delete krta hu.,NAG,NGEN,0
C7.1503,Sir arjun reddy movie hindi me available h kya???,NAG,NGEN,0
C19.55,Bhai Anchor itni Taali kyu baja raha hai apne har ek sentence ke baad,NAG,NGEN,0
C7.2063,Very good movie ..jao Dekho ..Maja aa gaya,NAG,NGEN,0
C7.385,Sahi bol rha h bhai glt cheez ko sapport krte h ye log,NAG,NGEN,0
C36.225.1,Because chief ko homosexuality pasnd nahi hai ☺,NAG,NGEN,0
C4.439,"When Shwetabh said, ""Jo bhi mera Channel follow krta hai dost, DHANG SE"". I
was literally like ""haan bhai samajh gya""😂",NAG,NGEN,0
C32.129.4,@Rajender ji12ewcgsdffeewandal q apna no.diya kya kam muzse wo to bolo,NAG,NGEN,0
C19.132,Mubarak se accha koi nji,NAG,NGEN,0
C36.644,अच्छा निर्णय लिया गया है,NAG,NGEN,0
C19.40,बहुत सही है review है ....👍👍👍👌👌👌,NAG,NGEN,0
C4.1141.4,Aadhi movie ke Uth gaya tha. Absolute cringe,NAG,NGEN,0
C4.2261,Zindigi badlne le liy thanks bhai,NAG,NGEN,0
C19.30,Jo buri baatein keh raho woh bhi achchhi lagi humein..,NAG,NGEN,0
C36.754,Gays ko nahi allow karna chahiye,NAG,NGEN,0
C36.913,आभार सर,NAG,NGEN,0
C7.2459,Aapki ye video report hogi,NAG,NGEN,0
C36.538,"सर 2018 में जितने भी सूचकांक जारी किया गया है उनकी कंबाइंड वीडियो बनाइए .  
Plz",NAG,NGEN,0
C4.1573,Bhi acting ka varea ma vhi bat karna.,NAG,NGEN,0
C7.1559.1,"Kahi kahi pe aap sahi keh rahe hai galat nahi hai. Galti se hi insaan seekhta
hai. Lekin aaj kal ke jawan log galat cheezo ko jaldi pakadte hai. Gusse pe
kabuu karna sabse zaroori hai.",NAG,NGEN,0
C26.207,ye toh bhai iss ne bikul sahi kiya,NAG,NGEN,0
C23.2,Yeh film bahut achha mujhe to achha laga,NAG,NGEN,0
C21.105,"Akshay khanna ,nachne gane vala actor nahi he bhai ,,,,wo bahut hi intelligent
actor he or bahut hi dhasu actor he bhai ....bhai uski smile hi jordar he",NAG,NGEN,0
C9.316,Ranga billa,NAG,NGEN,0
C36.666.1,Bhag,NAG,NGEN,0
C7.659,Kabir gusse par kabu nahi kar sakta yehi uski kamjori hai 😂,NAG,NGEN,0
C20.337.1,Kuch bhi,NAG,NGEN,0
C21.239,Kal hi ye movie dekhi...... mast movie hai.....,NAG,NGEN,0
C4.337,Mujhe pyaar ho gya ...........chutiyaapaa h.......kt rha h😂😂,NAG,NGEN,0
